accession,museum_code,specimen_id,specimen_id_original,voucher,taxon,genus,species,subspecies,otu,locality,province,country,locus,database,reference,longitude,latitude,elevation_m
HQ851253,LGEMA,13623,LGEMA13623,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851254,LGEMA,13624,LGEMA13624,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851255,LGEMA,13625,LGEMA13625,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851256,LGEMA,13626,LGEMA13626,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851257,LGEMA,13628,LGEMA13628,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851259,LGEMA,13638,LGEMA13638,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd2,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851358,LGEMA,13623,LGEMA13623,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851359,LGEMA,13624,LGEMA13624,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851360,LGEMA,13625,LGEMA13625,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
HQ851361,LGEMA,13626,LGEMA13626,NA,bird,Sclerurus,scansor,cearensis,Sclerurus scansor,"Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,nd3,GenBank,dhorta-et-al-2011,NA,NA,NA
