full_loc,new_long,new_lat
"Amargosa, Serra do Timbó Bahia Brazil",-39.632984,-13.081665
"Missiones, Argentina",-54.590089,-27.386202
"Mata do Estado, PE, Brazil",-35.478096,-7.606274
Mata do Estado Pernambuco Brazil,-35.478096,-7.606274
"Eng. coimbra, Usina Serra Grande, Al, Brazil",-36.0649373,-8.9737492
"Faz. Horizonte, Pilar, AL, Brazil",-36.010357,-9.648203
"Faz. Varrela, São Miguel dos Campos, AL, Brazil",-36.040013,-9.695557
"P.N. Itatiaia, Rio de Janeiro (RJ), Brazil",-44.6284689,-22.3698218
"Praias de Boracéica, Bertioga, SP, Brazil",-45.829543,-23.747188
"Reserva Florestal, CVRD",-40.068322,-19.150753
"Parque Uruguaí, Uruzú, Misiones, ARG",-54.164537,-25.86117
"Morro Grande, Nova Roma (Pousada Rancho Fundo) Santa Catarina Brazil",-49.766185,-28.704358
Estação Biológica de Boracéia São Paulo Brazil,-45.8495613,-23.5339144
"Serra de Ibiapaba, Ubajara, Ceará, Brazil",-40.907258,-3.840569
"Caratinga - Mata dos Padres, MG, Brazil",-42.12355,-19.804899
"Morro Grande, Nova Roma, Pousada Rancho Fundo Santa Catarina Brazil",-49.767898,-28.703792
