"","locality","province","country","full_loc","longitude","latitude","lat_loc_arcgis","long_loc_arcgis","lat_full_loc_arcgis","long_full_loc_arcgis","lat_loc_google","long_loc_google","lat_full_loc_google","long_full_loc_google"
"1","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"2","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"3","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"4","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"5","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"6","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"7","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"8","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"9","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"10","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"11","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"12","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"13","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"14","Serra de Ibiapaba, Ubajara, Ceará, Brazil","","","Serra de Ibiapaba, Ubajara, Ceará, Brazil",NA,NA,-6.51666999999998,-40.68333,-6.51666999999998,-40.68333,-4.2844444,-41.1069444,-4.2844444,-41.1069444
"15","Maranguape, Serra de Maranguape, Ceará, Brazil","","","Maranguape, Serra de Maranguape, Ceará, Brazil",NA,NA,-3.89999999999998,-38.71667,-3.89999999999998,-38.71667,-3.9,-38.7166667,-3.9,-38.7166667
"16","Maranguape, Serra de Maranguape, Ceará, Brazil","","","Maranguape, Serra de Maranguape, Ceará, Brazil",NA,NA,-3.89999999999998,-38.71667,-3.89999999999998,-38.71667,-3.9,-38.7166667,-3.9,-38.7166667
"17","Maranguape, Serra de Maranguape, Ceará, Brazil","","","Maranguape, Serra de Maranguape, Ceará, Brazil",NA,NA,-3.89999999999998,-38.71667,-3.89999999999998,-38.71667,-3.9,-38.7166667,-3.9,-38.7166667
"18","Guaramiranga, Serra de Baturité, Ceará, Brazil","","","Guaramiranga, Serra de Baturité, Ceará, Brazil",NA,NA,-4.26063999999997,-38.93458,-4.26063999999997,-38.93458,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"19","Guaramiranga, Serra de Baturité, Ceará, Brazil","","","Guaramiranga, Serra de Baturité, Ceará, Brazil",NA,NA,-4.26063999999997,-38.93458,-4.26063999999997,-38.93458,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"20","Guaramiranga, Serra de Baturité, Ceará, Brazil","","","Guaramiranga, Serra de Baturité, Ceará, Brazil",NA,NA,-4.26063999999997,-38.93458,-4.26063999999997,-38.93458,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"21","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"22","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"23","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"24","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"25","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"26","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"27","Serra de Baturité, Pacoti, Ceará, Brazil","","","Serra de Baturité, Pacoti, Ceará, Brazil",NA,NA,-4.20418999999993,-38.93915,-4.20418999999993,-38.93915,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"28","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil","","","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,-4.32597999999996,-38.8832399999999,-4.32597999999996,-38.8832399999999,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"29","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil","","","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,-4.32597999999996,-38.8832399999999,-4.32597999999996,-38.8832399999999,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"30","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil","","","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,-4.32597999999996,-38.8832399999999,-4.32597999999996,-38.8832399999999,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"31","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil","","","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,-4.32597999999996,-38.8832399999999,-4.32597999999996,-38.8832399999999,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"32","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil","","","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,-4.32597999999996,-38.8832399999999,-4.32597999999996,-38.8832399999999,-4.2041667,-38.9391667,-4.2041667,-38.9391667
"33","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil","","","Sítio Sinimbu, Mulungu, Serra de Baturité, Ceará, Brazil",NA,NA,-4.32597999999996,-38.8832399999999,-4.32597999999996,-38.8832399999999,-4.2041667,-38.9391667,-4.2041667,-38.9391667
