"id","museum_code","specimen_id","specimen_id_original","genus","species","subspecies","locus","found_title"
"AFMTDNA296","LGEMA","2176","LGEMA2176","Phylloscartes","ventralis",NA,"cytb","Phylloscartes ventralis isolate LGEMA2176 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA297","LGEMA","17875","LGEMA17875","Phylloscartes","ventralis",NA,"cytb","Phylloscartes ventralis isolate LGEMA17875 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA298",NA,"B4274","B4274","Phylloscartes","ventralis",NA,"cytb","Phylloscartes ventralis isolate B4274 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA299",NA,"B4275","B4275","Phylloscartes","ventralis",NA,"cytb","Phylloscartes ventralis isolate B4275 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA300","MACN","1402","MACN1402","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN1402 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA301","MACN","1456","MACN1456","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN1456 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA302","MACN","3146","MACN3146","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN3146 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA303","MACN","3176","MACN3176","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN3176 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA304","MACN","3229","MACN3229","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN3229 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA305","MACN","6164","MACN6164","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN6164 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA306","MACN","4788","MACN4788","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN4788 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA307","MACN","4816","MACN4816","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN4816 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA308","MACN","4818","MACN4818","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN4818 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA309","MACN","4828","MACN4828","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN4828 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA310","MACN","4840","MACN4840","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate MACN4840 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA311",NA,"B3411","B3411","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate B3411 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA312",NA,"B3658","B3658","Cacicus","chrysopterus",NA,"cytb","Cacicus chrysopterus isolate B3658 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA313","MZUSP","82619","MZUSP82619","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 82619 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA314","MZUSP","82637","MZUSP82637","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 82637 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA315","MZUSP","91196","MZUSP91196","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher MZ 91196 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA316","MZUSP","91197","MZUSP91197","Thamnophilus","caerulescens","gilvigaster","nd2","Thamnophilus caerulescens voucher MZ 91197 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial"
"AFMTDNA317","MZUSP","91661","MZUSP91661","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 91661 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA318","MZUSP","91755","MZUSP91755","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 91755 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA319","MZUSP","93176","MZUSP93176","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 93176 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA320","MZUSP","96752","MZUSP96752","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 96752 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
"AFMTDNA321","MZUSP","96753","MZUSP96753","Thamnophilus","caerulescens","caerulescens","nd2","Thamnophilus caerulescens voucher MZ 96753 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
