"id","museum_code","specimen_id","specimen_id_original","genus","species","subspecies","locus","issue"
"AFMTDNA1078","LGEMA","1182","LGEMA1182","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1081","LGEMA","1367","LGEMA1367","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1086","LGEMA","2087","LGEMA2087","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1097","LGEMA","13015","LGEMA13015","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1101","MNRJ","229","MNRJ229","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1115","LGEMA","14592","LGEMA14592","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1121","UFMG","B2414","UFMGB2414","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1124","LGEMA","15756","LGEMA15756","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1125","LGEMA","15758","LGEMA15758","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1126","LGEMA","15764","LGEMA15764","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1127","LGEMA","15765","LGEMA15765","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1128","MCPMCP","3088","MCPMCP3088","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1141","LGEMA","14437","LGEMA14437","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1147","LGEMA","13530","LGEMA13530","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1156","LGEMA","13536","LGEMA13536","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1159","LGEMA","13545","LGEMA13545","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1160","LGEMA","13549","LGEMA13549","Synallaxis","ruficapilla",NA,"cytb","not_found"
"AFMTDNA1162","LGEMA","13711","LGEMA13711","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1164","LGEMA","13401","LGEMA13401","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1166","LGEMA","13720","LGEMA13720","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1167","LGEMA","13736","LGEMA13736","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1169","LGEMA","13763","LGEMA13763","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1170","LGEMA","13764","LGEMA13764","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1178","MZUFBA","1195","MZUFBA1195","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1179","MZUFBA","1196","MZUFBA1196","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1183","MZUFBA","1209","MZUFBA1209","Synallaxis","cinerea",NA,"cytb","not_found"
"AFMTDNA1187","LGEMA","1182","LGEMA1182","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1190","LGEMA","1367","LGEMA1367","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1191","LGEMA","1368","LGEMA1368","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1193","LGEMA","2067","LGEMA2067","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1195","LGEMA","2087","LGEMA2087","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1196","LGEMA","2187","LGEMA2187","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1206","LGEMA","13015","LGEMA13015","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1210","MNRJ","229","MNRJ229","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1217","LGEMA","14527","LGEMA14527","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1224","LGEMA","14592","LGEMA14592","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1228","LGEMA","14688","LGEMA14688","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1230","UFMG","B2414","UFMGB2414","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1233","LGEMA","15756","LGEMA15756","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1234","LGEMA","15758","LGEMA15758","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1235","LGEMA","15764","LGEMA15764","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1236","LGEMA","15765","LGEMA15765","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1237","MCPMCP","3088","MCPMCP3088","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1250","LGEMA","14437","LGEMA14437","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1256","LGEMA","13530","LGEMA13530","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1265","LGEMA","13536","LGEMA13536","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1268","LGEMA","13545","LGEMA13545","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1269","LGEMA","13549","LGEMA13549","Synallaxis","ruficapilla",NA,"nd2","not_found"
"AFMTDNA1271","LGEMA","13711","LGEMA13711","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1273","LGEMA","13401","LGEMA13401","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1275","LGEMA","13720","LGEMA13720","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1276","LGEMA","13736","LGEMA13736","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1278","LGEMA","13763","LGEMA13763","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1279","LGEMA","13764","LGEMA13764","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1285","MZUFBA","1193","MZUFBA1193","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1287","MZUFBA","1195","MZUFBA1195","Synallaxis","cinerea",NA,"nd2","not_found"
"AFMTDNA1294","MNRJ","MNT250","MNRJ MNT 250","Myrmeciza","loricata",NA,"nd2","duplicate"
"AFMTDNA1295","MNRJ","MNT251","MNRJ MNT 251","Myrmeciza","loricata",NA,"nd2","duplicate"
"AFMTDNA1296","MNRJ","MNT252","MNRJ MNT 252","Myrmeciza","loricata",NA,"nd2","duplicate"
"AFMTDNA1297","MNRJ","MNT253","MNRJ MNT 253","Myrmeciza","loricata",NA,"nd2","duplicate"
"AFMTDNA1300","LGEMA","13010","LGEMA 13010","Myrmeciza","loricata",NA,"nd2","not_found"
"AFMTDNA1316","MNRJ","MNT88","MNRJ MNT 88","Myrmeciza","loricata",NA,"nd2","duplicate"
"AFMTDNA1317","MNRJ","MNT163","MNRJ MNT 163","Myrmeciza","loricata",NA,"nd2","duplicate"
"AFMTDNA1346","LGEMA","14601","LGEMA 14601","Myrmeciza","squamosa",NA,"nd2","not_found"
"AFMTDNA1379","MNRJ","DHF69","MNRJ DHF 069","Myrmeciza","squamosa",NA,"nd2","duplicate"
"AFMTDNA1380","MNRJ","DHF70","MNRJ  DHF 070","Myrmeciza","squamosa",NA,"nd2","duplicate"
"AFMTDNA1381","MNRJ","DHF71","MNRJ  DHF 071","Myrmeciza","squamosa",NA,"nd2","duplicate"
"AFMTDNA1382",NA,NA,"15341","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1383",NA,NA,"15342","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1384",NA,NA,"15343","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1385",NA,NA,"15362","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1386",NA,NA,"15363","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1387",NA,NA,"16545","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1388",NA,NA,"16549","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1389",NA,NA,"16550","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1390",NA,NA,"16551","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1391",NA,NA,"16553","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1392",NA,NA,"16554","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1393",NA,NA,"15344","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1394",NA,NA,"15345","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1395",NA,NA,"15346","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1396",NA,NA,"15347","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1397",NA,NA,"15348","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1398",NA,NA,"15349","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1399",NA,NA,"15350","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1400",NA,NA,"15351","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1401",NA,NA,"15352","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1402",NA,NA,"15353","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1403",NA,NA,"15354","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1404",NA,NA,"15355","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1405",NA,NA,"15356","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1406",NA,NA,"15357","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1407",NA,NA,"15358","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1408",NA,NA,"15359","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1409",NA,NA,"15360","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1410",NA,NA,"15361","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1411",NA,NA,"11655","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1412",NA,NA,"11656","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1413",NA,NA,"11657","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1414",NA,NA,"11658","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1415",NA,NA,"11659","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1416",NA,NA,"11660","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1418",NA,NA,"11662","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1419",NA,NA,"11664","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1420",NA,NA,"18072","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1421",NA,NA,"18073","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1422",NA,NA,"18074","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1423",NA,NA,"18075","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1424",NA,NA,"18076","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1425",NA,NA,"18077","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1426",NA,NA,"17112","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1427",NA,NA,"17113","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1428",NA,NA,"17114","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1429",NA,NA,"17115","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1430",NA,NA,"17116","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1431",NA,NA,"17921","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1432",NA,NA,"17922","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1433",NA,NA,"17923","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1434",NA,NA,"17924","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1435",NA,NA,"17925","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1436",NA,NA,"17926","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1437",NA,NA,"17927","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1438",NA,NA,"17928","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1439",NA,NA,"17929","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1440",NA,NA,"17931","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1441",NA,NA,"17934","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1442",NA,NA,"17930","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1443",NA,NA,"17935","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1444",NA,NA,"17936","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1445",NA,NA,"17937","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1446",NA,NA,"18034","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1447",NA,NA,"18035","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1448",NA,NA,"18036","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1449",NA,NA,"18037","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1450",NA,NA,"18083","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1451",NA,NA,"18084","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1452",NA,NA,"18085","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1453",NA,NA,"18086","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1454",NA,NA,"18089","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1455",NA,NA,"18090","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1456",NA,NA,"18092","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1457",NA,NA,"18093","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1458",NA,NA,"18094","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1459",NA,NA,"18046","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1460",NA,NA,"18047","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1461",NA,NA,"18048","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1462",NA,NA,"18049","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1463",NA,NA,"18050","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1464",NA,NA,"18051","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1465",NA,NA,"18052","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1466",NA,NA,"18045","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1467",NA,NA,"18054","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1468",NA,NA,"18055","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1469",NA,NA,"18056","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1470",NA,NA,"18057","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1471",NA,NA,"18059","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1472",NA,NA,"18062","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1473",NA,NA,"18063","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1474",NA,NA,"18064","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1475",NA,NA,"18066","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1476",NA,NA,"18069","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1477",NA,NA,"18070","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1478",NA,NA,"18071","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1479",NA,NA,"P1D","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1480",NA,NA,"P3E","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1481",NA,NA,"P6D","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1482",NA,NA,"P7E","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1483",NA,NA,"P12D","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1484",NA,NA,"17096","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1485",NA,NA,"17097","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1486",NA,NA,"17098","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1487",NA,NA,"17099","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1488",NA,NA,"17100","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1489",NA,NA,"17101","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1490",NA,NA,"17102","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1491",NA,NA,"17103","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1492",NA,NA,"17104","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1493",NA,NA,"17105","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1494",NA,NA,"17106","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1495",NA,NA,"17107","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1496",NA,NA,"17108","Pyriglena","atra",NA,"nd2","not_found"
"AFMTDNA1497",NA,NA,"17932","Pyriglena","leucoptera",NA,"nd2","not_found"
"AFMTDNA1498",NA,NA,"17933","Pyriglena","leucoptera",NA,"nd2","not_found"
"AFMTDNA1499",NA,NA,"18001","Pyriglena","leucoptera",NA,"nd2","not_found"
"AFMTDNA1500",NA,NA,"18002","Pyriglena","leucoptera",NA,"nd2","not_found"
